A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
CITITRAVEL Ltd|||||15A, Xenofondos Street, 105 57 Athens Tel (210) 3230556, 3222371, 3223376, Fax (210) 3223307 Owner: Cititravel Ltd., Manager: Sotiris Konstantinides GDS: Amadeus Member of: IATA (code 27-0 0153) 
CITY OF ATHENS|||||2, Efpolidos Street, 105 51 Athens Tel  (210) 3247476-7, 3247557, 3242039, Fax  (210) 3220809 Owner: G. Tzitzikalaki & I. Papantoniou, Manager: I. Papantoniou Member of: IATA (code 27-2 0190), HATTA GDS: Worldspan, Galileo, Sabre 
CITY PLAZA TRAVEL CENTER|||||34, Iasonidou Street, 167 77 Hellinikon Tel (210) 9641282, Fax (210) 9600712 Manager: Ms Roula Kanda Member of: HATTA
CLIPPER TRAVEL|||||11, Artis Street, 115 23 Athens Tel (210) 6983995, Fax (210) 6984684 Owner/Manager: Eleftheria Bramou Vat Reg No: 014802308, DOY: KA΄ΑΤΗΕΝS Member of: IATA (code 27-0 0664) GDS: Amadeus 
COHILI TOURS|||||3, Nikitara Street, 106 78 Athens, Tel 2103840261, Fax 2103828239 Manager: Serif Nabil Xalil Member of: HATTA 
COLOSSEUM TRAVEL|||||4, Iridos Street, 175 61  P. Phalero Tel (210) 9680981, Fax (210) 9880851 Owner: Kalliopi Stabouloglou Member of: IATA (code 27-2 1163), HATTA
CONCEPTOURS Traveller’s Services|||||4, Valaoritou Street, 106 71 Athens, near Syntagma Square Postal Address: P.O. Box 30303, 100 33 Athens Tel (210) 3600812, Fax (210) 3600861 President: Byron D. Argiri, Vice President: Ms Helena Colenda   Executive Vice President: Nicolas Spartalis Manager: Michail Argiris Member of: ACTA, ASTA, HATTA, ITA/UK, MPI, SITE, UFTAA, USTOA 
CONSOLAS TRAVEL|||||Head office: 100, Eolou Street, 105 64 Athens Tel (210) 3219228, 3241751, 3254932, Fax (210) 3210907 Owner/Manager: Theo Consolas Member of: HATTA, PAT Branch office: 18, Filellinon Street, 105 57 Athens Tel  (210) 3232812, 3226657 Office Manager: Ms Tracy Tully
CORFU STAR|||||7, Agiou Konstantinou Street, 104 31 Athens Tel (210) 5235713, 5237983, 5230461, Fax (210) 5230378 Owner/Manager: Ms Evangelia Triantou Member of: HATTA, GDS: Sabre 
COSMORAMA LTD|||||4, Lykavitou St., 106 71 Athens Tel (210) 3642707,  Fax (210) 3648252 Owner/Manager: P. Iliadis Member of: IATA (code 27-2 1222), HATTA 
COSTOS TRAVEL & TOURISM|||||Head Office: 17, Voulis Street, 105 63 Athens Tel (210) 3225742, 3232630, Fax (210) 3226437 Owner/Manager: N. Costos Member of: IATA (code 27-2 0120), GUATA/PETAGA, HATTA, PAT GDS: Sabre 
COSTOS TRAVEL & TOURISM|||||Branch office: 4, Ag. Ioannou Street, Ag. Paraskevi 153 42 Athens Tel (210) 6009328, 6009428, Fax (210) 6017491 Owner: Nikos Costos,  Manager: Ms Marina Tsalopoulou-Costou Member of IATA: (code 27-0 0077), GUATA, PETAGA, HATTA, PAT GDS: Sabre 
COURMOUZIS TRAVEL SERVICE|||||42, Themistokleous Street, 166 73  Voula Tel (210) 8952756, Fax (210) 9940505 Manager: Costas Courmouzis Member of: HATTA 
CREATIVE INCENTIVES & TRAVEL|||||10, Parnonos Street, 151 25 Marousi Tel (210) 6142083-7, Fax (210) 6142072 Manager: Dia Capsi Member of: HATTA 
CREDIT TOURS LTD|||||29, Ipsilandou Street, 106 75 Athens Tel (210) 7221319, 7221349, Fax (210) 7223495 Owner: Credit Tours Ltd, Manager: S. Foskolos Member of: IATA (code 27-0 0155), HATTA, GDS: Amadeus 
CRUISE – CLUB HOLIDAYS|||||85, Vouliagmenis Avenue, 166 74 Glyfada, Tel (210) 9604250-2, Fax (210) 9644943, VAT 095215229, GLYFADA Owner: Cruiseclub Holidays Ltd, Managers: P. Holevas, Ch. Sahinoglou Member of: ACTA, ASTA, GITO, HATTA, USTOA 
CRUISEXPERTS HELLAS|||||6, Paleologou Benizelou Street, 105 56 Athens Tel (210) 3259900, Fax (210) 3259999 Owner: Cruisexperts Hellas S.A., 
C.T. TRAVEL|||||25, G. Papandreou  Street, 124 62 Dasos Haidariou Tel (210) 5820390, Fax (210) 5326610 Manager: Haralambos Themelakis Member of: HATTA 
CTM INTERNATIONAL|||||5, Apollonos Street, 105 57 Athens Tel (210) 3244932, 3237969, Fax (210) 3250660 Owner: J. Svoronos, Manager: L. Kabanaris, Reserv. Dept.: C. Dalekos Member of: IATA (code 27-0 0380), GDS: Galileo,Sabre 
DA TRAVEL|||||19, Filellinon Street, 105 57 Athens Tel (210) 3233000, Fax (210) 3232555 Owner/Manager: D. Apostolidis Member of: IATA (code 27-2 1216), HATTA GDS: Worldspan 
DAFNI TOURS|||||38, Athanasiou Diakou Street, 117 43 Athens Tel 2109248200, Fax 2109217339 Manager: Ioannis Evangelou Member of: HATTA, HAPCO 
DAGAS ATHANASIOS|||||82, Ag. Nikolaou, 131 23 N. Liosia Tel/Fax (210) 5052852 Owner/Manager: Athanasios Dagas 
DALIA TOURS Ltd, TRAVEL & TOURISM|||||81, Possidonos Ave. & Dousmani Streets, 166 75 Glyfada Colosseum Shopping Center, Tel (210) 8983656-9, Fax (210) 8983650 Owner: J. Farsoun, Manager: Josef Farsoun Member of: IATA (code 27-2 7984), GITO, GUATA/PETAGA, HATTA GDS: Sabre 
DAMON TRAVEL|||||1, Asklipiou Street, 106 79 Athens, Tel (210) 3645539, 3645405, Fax (210) 3614445 Owner: Damon Touristic Ent. Ltd, Managers: E.Stamatopoulos, P. Vlachos Member of: HATTA
DANAE TRAVEL LTD|||||6, Psylla & Filellinon Streets, 105 57 Athens Tel (210) 3247511-9, 3247521, Fax (210) 3249996 Owner: Danae Travel Ltd, Manager: Ms M. Theofanopoulou Member of: HATTA, IATA (code 27-2 0787) 
DARZENTAS TRAVEL|||||31, Kykladon Street & Kyprou Ave., 164 51 Agryroupoli-Athens Tel (210) 9917618, 9961548, Fax (210) 9961758 Owner/Manager: Marios Darzentas Additional Manager: Darzenta Flora, Ntamari Evangelia, Hatzeli Mirela Accounting: Kydonis Konstantinos Vat Reg No: 999447431, DOY: ARGYROUPOLIS Member of: IATA (code 27-2 0166) GDS: Worldspan, Galileo 
DEL MARE YAGHTS & TRAVEL|||||10, Koritsas Street, 174 55 Alimos, Athens Tel (210) 9810776, Fax (210) 9880190 Owner/Manager: N. Stamatis Member of: IATA (code 27-2 1201), HATTA 
DELPHINI AGENCY LTD|||||19, Seizani St., 142 31 N. Ionia Tel (210) 2724056, Fax (210) 2724058 Manager: Nikolaos Pangalos   Member of: HATTA 
DELTA SKY TRAVEL SERVICES|||||19-21, Haimanta Street, 152 34 Halandri Tel (210) 6850550, Fax (210) 6834333 Owner/Manager: Antonis Kolyris Member of: IATA (code 27-2 2211) GDS: Sabre 
DESTINATIONS|||||47, Thoukididou St., 174 55 Athens, Tel (210) 9853543, Fax (210) 9853544 Owner/Manager: Stefanos Petrof Member of: IATA (code 27-0 0395) 
DETTO – DESIGN TRAVEL TOUR OPERATOR|||||5A, Xenofontos  St., 105 57 Athens, Tel (210) 3220768,  Fax (210) 3230565 Owner/Manager: Ms Maria Katsiani Office Manager: Ms Angela Koumbarou Member of: HATTA
DEVELOP TRAVEL|||||24, Ag. Ioannou  Street, 153 42 Ag. Paraskevi Tel (210) 6083307, Fax (210) 6011478 Manager: Christina Vlachou
DIADEM TOURS|||||15, Klisthenous Street, 105 52 Athens Tel (210) 3317874, Fax (210) 3317875 Owners/Managers: George Akritidis Member of: HATTA E-mail: athens@ambotis.gr 
DIAGORAS TOURS|||||557, Vouliagmenis Ave., 163 41 Helioupolis Tel (210) 9939924, 9954434, Fax (210) 9954566 Owner/Manager: N. Bakerlis 
DIAMOND GLOBAL TRAVEL|||||12, Hydras St,. 151 22 Marousi Tel (210) 6121514, Fax (210) 6121511 Manager: Evangelos  Evangeliou Member of: HATTA 
DIAPOULIS TRAVEL|||||349, Patission & Negi 4 Street, 111 44 Athens Tel (210) 2010510, 2282275, Fax (210) 2287695, Owner: S. & M. Diapoulis, Manager: Spyros Diapoulis Member of: HATTA GDS: Sabre 
DIAS TOURS|||||313, Patission Street, 111 44 Athens Tel (210) 2280036, 2113891, Fax (210) 2283291 Owners/Managers: Mrs A. Kokkinasidou & Mrs Paola Betto Member of: IATA (code 27-0 0038), HATTA GDS: Galileo, Sabre 
DIGNITY TRAVEL & TOURISM|||||131, Momferatou Street, 114 57 Athens Tel (210) 6454732-3, Fax (210) 6438138 Owner/Manager: Ioannis Rallatos Member of: HATTA
DIMIDIS TOURS|||||68, Kifissias Ave., 115 26 Athens Tel (210) 6925844, 6927240-1, Fax (210) 6926832 Owner: Dimidis Travel LTD Vat Reg No: 095403787, DOY: IB’ ATHINON Manager: Sergios Dimidis, sergios@dimidistours.gr Member of: HATTA, IATA (code 27-0 0151), GDS: Galileo E-mail: info@dimidistours.gr, Web site: www.dimidistours.gr 
DINERS COSMOS CLUB|||||3, Christou Lada Street, 105 61 Athens Tel 210 3333444 , Fax 210 3333524 E-mail: info@dinerscosmosclub.gr     Web site: www.dinerscosmosclub.gr RegCo Eurostar S.A. ATEVE DINERS COSMO CLUB VAT 094495077 (FAEE Athens ) General Mgr Demi Galanou Member of : IATA (code 27-2 0083), ASTA, HATTA, UFTAA-FUAAV, HAPCO, SETE, PETAGA EOT Licence 0206E610000885Y0 World wide Tour Operating All Travel & Tourism Arrangements 
DIPLOMAT TRAVEL & TOURISM|||||68, Voutsina Street, 155 61 Holargos-Athens, Tel (210) 6517509, 6516984, 6542197-8, Fax (210) 6523537 Owner: Mrs A. Antoniadou, Manager: Mrs Christina Chalkia Member of: IATA (code 27-2 0156), GDS: Galileo, Amadeus 
DISCOVER THE WORLD MARKETING Ltd|||||Head office: 151, Kyprou Avenue, 164 51 Argyroupolis Tel (210) 9652300, 9600942, 9637846, Fax (210) 9600941 Owner: DTWM, VAT 095495470 (Argyroupolis) Managing Director: Dinos Frantzeskakis, General Manager: Ms Angela Kontou Member of: ASTA, SETE, HAAR 
DOLLY TOURS|||||37, Vass. Konstantinou Street, 152 32 Halandri-Athens Tel (210) 6841859, 6853810, Fax (210) 6841859 Owners/Managers: Mrs Dolly Paravatou, N. Paravatos
DOLPHIN HELLAS S.A.|||||16, Syngrou Avenue, 117 42 Athens Tel (210) 9227772-5, Fax (210) 9232101 Owner: Dion. P. Hamosfakidis S.A., VAT 094284483, DOY: FAEE ATHENS Manager: Aliki Hamosfakidou Groups Manager: Ms Vassiliki Zikou, kz@dolphin-hellas.gr Incoming Retail: Uli Perschu, uli@dolphin-hellas.gr Incoming Wholesale: Ms Eleni Kourtesi, eleni@dolphin-hellas.gr Ticketing: Mr Dennis Karamolegos: dennis@dolphin-hellas.gr Accounting: Mr Makis Pantazatos, makis@dolphin-hellas.gr Branch office in: Skiathos Member of: IATA (code 27-0 0014), HATTA, SKAL, GDS: Amadeus E-mail: dolphinhellas@dolphin-hellas.gr, info@dolphin-hellas.gr Web site: www.dolphin-hellas.gr 
DORKAS TRAVEL Ltd|||||44, Nikis Street, 105 58 Athens Tel (210) 3222258, 3238726, 3239121, Fax (210) 3239362, Owner/Manager: Ms Irene Papoutsaki, VAT 095001670, D’ ATHENS Member of: HATTA, IATA (code 27-2 1120), GDS: Galileo 
DREAM TRAVEL S.A.|||||34, Apollonos Street, 105 56 Athens Tel 211 – 1050000, Fax 211 – 1050015 E-mail: dream@dreamtravel.gr Web site: www.dreamtravel.gr President/CEO: Stavros Bouzanis Vice President: Alexandros Repapis Product, Incentives & Operations Mgr: Ms Anna Marki Reservations Manager: Ms Dim. Mari, Incoming Manager: Ms Rocio Margioni
DROMOR TRAVEL|||||236, Kifissias Avenue, 145 62 Kifissia-Athens Tel (210) 8019800, 8019766, 8082225, Fax (210) 8018974 Owner/Manager: Panag. St. Saitanis Member of: IATA (code 27-2 1078), GDS: Worldspan, Amadeus 
EARTHSCAPE TRAVEL|||||3, Esperidon Street, 166 74 Glyfada Tel (210) 9681990-91, Fax (210) 9681992 Owner/Manager: Ms Georgia Santorinaiou Vat Reg No: 066898914, DOY: GLYFADA Member of: EOT, HATTA 
EASY TRAVEL|||||19, Anagnostopoulou Street, 106 73 Athens Tel (210) 3618556, 3609442, Fax (210) 3625572 Owner/Manager: Miss J. Farmaki 
E.B.S. TRAVEL|||||128, Patision St., 112 57 Athens, Tel (210) 8234534, Fax (210) 8234563 Manager: Vassilios Siozas Member of: HATTA 
ECO ACTION HELLAS|||||16, Ag. Anargyron Street, 105 54 Athens Tel 2103317866, Fax 2103317253 Manager: Apostolos Papaikonomou Member of: HATTA 
ELECTRON TRAVEL|||||12-14, Thisseos Street, 105 62 Athens Tel (210) 3312918-9, Fax (210) 3314037 Owner/Manager: Kostas Gartzopoulos Member of: HATTA, IATA (code 27-2 1063), GDS: Amadeus 
ELINA HOLIDAYS S.A.|||||47, Thoukididou Street, Alimos, 174 55 Athens, Syntagma Square, Tel (210) 3233391, Fax (210) 3247902 Owner: Elina Holidays S.A., VAT 094435019, FAEE ATHENS President & Managing Director: Miss Elina-Ekaterini Orfanou Assistant General Manager: Mrs Hellen Orfanou Planning & Operation Manager: Theodoros Orfanos Sales Manager: Mrs Ioanna Kokkali 
ELITE TRAVEL AND CONGRESS SERVICES|||||43, Syngrou Avenue, 117 43 Athens Tel (210) 9230100, Fax (210) 9230130 Owner: Elite Ltd, Manager: G. Zafiropoulos Member of: IATA (code 27-0 0820), HATTA GDS: Amadeus, Sabre 
EL KAY TRAVEL|||||34, Filellinon St., 105 58 Athens, Tel (210) 3251090, Fax (210) 3251076 Owner: Mrs Evangelia Kalaitzi Member of: HATTA 
ELPA-ALTIS TRAVEL & TOURISM|||||395, Messoghion Street, 153 43 Ag. Paraskevi Tel (210) 6068840, Fax (210) 6068985 Owner: Altis S.A., Member of: IATA (code 27-0 0789) Web Site: www.altis.gr E-mail: altis@travelling.gr, altis@altis.gr 
ELSA TOURS|||||177, Acharnon Street, 104 46 Athens Tel (210) 8612040, 8612052, Fax (210) 8612052 Owner/Manager: Miss E. Vita Member of: HATTA
EL – VE TOURS|||||16, Nikis Street, 105 57 Athens Tel (210) 3232449, 3237218, Fax (210) 3228977 Owner/Manager: Alexandros Vizantiades GDS: Sabre 
ENASTRON|||||49, G. Vlachou Street, 115 25 Athens Tel (210) 6772226, Fax (210) 6772226 Manager: Fotini Mitzali
ENROUTE TRAVEL SERVICES & EVENTS|||||86, Themistokleous Street, 106 81 Athens Tel (210) 3301802, Fax (210) 3301839 Manager: Alexandros Papadimitropoulos Member of: HATTA 
ENTER HELLAS D.M.C.|||||5, Ag. Thoma Street & Messoghion Avenue, 115 27 Athens Tel (210) 7485605, Fax (210) 7485607 Manager: Sofia Tsiskanegof Member of: HATTA
EOS TRAVEL|||||31, Veikou & 2 Botsari Streets, Galatsi, 111 46 Athens Tel (210) 2138866, 2930066, Fax (210) 2223266 Member of: HATTA Owner/Manager: Aik. Palaskoni GDS: Amadeus
EPICURUS TRAVEL|||||165, Lazaraki Street, 166 74 Glyfada, Tel (210) 8947196, 8980402 Mobile phone 6944-433685, Fax (210) 8947571 Manager: Ms Oxana Kleftogianni
ERA LTD|||||17, Asklipiou Street, 106 80 Athens Tel (210) 3634944, 3632950, Fax (210) 3631690 Owner: Era  Ltd, Manager: Mrs Irene Toli – Flessas Member of: HATTA 
ERASMUS CONFERENCES|||||1, Kolofontos & Evridiki corner, 161 21 Athens Tel 2107414700, Fax 2107257532 Manager: Ms Georgia Tsatsou Member of: HATTA 
ERGO-5 AGENCY|||||16-18, Pireos St., 104 31 Athens, Tel 210-5200038,  Fax: 210-5229445 Manager: Elisabeth Kapathanasidou 
ESCAPE TRAVEL & TOYRISM|||||23, Skoufa Street, 106 73 Athens Tel (210) 3625068, 3619072, Fax (210) 3631380 Owner/Manager Nikolaos Tziotis Member of: HATTA. GDS: Worldspan 
ESSER TRAVEL S.A.|||||187, Gounari Street, 166 74 Glyfada Tel (210) 9632404, Fax (210) 9632560 Owner: Ellinodaniki Touristiki S.A., Manager: Jorgen Esser Member of: IATA (code 27-2 2868), HATTA GDS: Amadeus 
ESTIA TRAVEL|||||Ermou & 17, Voulis Streets, 105 63 Athens Tel (210) 3246201, Fax (210) 3292052 Owner/Manager: Maria Kotsou Member of: IATA (code 27-2 9447) GDS: Galileo
ES TOURS HELLAS S.A.|||||22, Okeanidon Street , 117 45 N. Kosmos Tel (210) 9374475, Fax (210) 9374478 Owner/Manager: Stathis Skretas Member of: HATTA 
ETAM TRAVEL SERVICE|||||255, Iera Odos & 387, Thivon Streets, 122 44 Egaleo-Athens Tel (210) 5986774, Fax (210) 5981527 Owner/Manager: Chr. Gasparatos Member of: IATA (code 27-2 1243), HATTA, ASTA GDS: Galileo 
E.T.S. EVENTS & TRAVEL SOLUTIONS|||||154, El. Venizelou, 171 22 N. Smyrni Tel (210) 9880032, Fax (210) 9881303 Manager: Konstantinos Karagiorgakis 
EUROBANK TRAVEL|||||49, Syngrou Avenue, 117 43 Athens Tel (210) 9289900, Fax (210) 9289460 Member of: IATA (code 27-2 1142) 
EUROLAND TRAVEL EVENTS|||||8, D. Aeginitou Street, 115 28 Athens Tel (210) 3313353, 3313064, Fax (210) 3230094 Owner/Manager Mrs Panagiota Vlachou Group Dep.: Mrs Anne Natero, Fit Dep.: Mrs Suzanna Pakko Corporate Accounts: Mrs Ria Vlahou Member of: HATTA  Euroland Events is an incoming travel agency foundedin 1999 by Mrs. Panayota-Sofia Vlahou.From the beginning of its operation it was established as a specialist in the industry of Group  & Event organizing.Euroland is based in Athens and operates throughout Greece Why Euroland: For being always there to give  professional support in order to  guarantee 100% of success For our staff who is always following the  group with discretion and personal care For displaying imagination and inspiration For immediate responses and prompt  answers to every request. Thanks to our big database of contacts we offer the most competitive rates throughout Greece For its extensive knowledge of Greece For its professional staff and innovative spirit Where Euroland Operates: Throughout Greece Our specialty is: Athens, Santorini, Mykonos, Olympia, Delphi, Meteora, Crete, Rhodes, Corfu,Halkidiki What Euroland can do for you: We design and we deliver : Events Meetings Private Parties Special Happenings Yachting Island hoping Cruise Cultural Trips Classical Tours Wine & Culinary Tours Customized water sports Outdoor team building activities Hiking, Biking, Rafting We arrange  Accommodation, Transportation, Restaurant reservation info@eurolandevents.gr www.eurolandevents.gr  Tel:0030 210 3313064, 0030 210 3313353 
EUROPLUS TRAVEL SERVICES|||||2, Ag.Georgiou St.,145 62 Kifissia Tel (210) 6234420, Fax (210) 6234423 Manager: Anastasios Kourniaktis E-mail: info@europlus-travel.gr, Web site: www.europlus-travel.gr 
E.V.E. S.A.|||||38, Voulis Street, 105 57 Athens Tel (210) 3245414-5, Fax (210) 3244454 Owner/Manager: E. Varentzakis Member of: GSA 
EVENT MAKERS|||||14, K.Palaiologou Street, 171 21 Athens Tel (210) 9370205-6, 9311004-6, Fax (210) 9370208 Managing Director: Angelos Samolis Member of HATTA
EVEREST TRAVEL & TOURISM|||||14-16, Lykourgou Street, 105 52 Athens Tel (210) 3249542, 3249242, Fax (210) 3242395 Owners/Managers: T., L. Malakates, D. Papakonstantinou Member of: IATA (code 27-2 9798), HATTA, UFTAA GDS: Galileo, Sabre 
EVI’S TOURS|||||15-17, Alkyonis Street, 175 61 P. Phaleron-Athens Tel (210) 9832111-3, Fax (210) 9846741 Owner/Manager: Ilias Kastritsios Member of: IATA (code 27-0 0086) GDS: Galileo 
EXCELSIOR TRAVEL & TOURISM|||||22, Karolou & 9, Psarron Strs, 104 37 Athens Tel (210) 5200513-16, Fax (210) 5200516 Owner/Manager: George Kardamis Member of: IATA (code 27-0 0223), HATTA 
EXCLUSIVE TOURS|||||63, Panepistimiou Ave., 105 64 Athens Tel (210) 3219211-14,  Fax (210) 3248381 Owner/Manager: Nikos Pagonis Member of: IATA (code 27-0 0405), ASTA, COTAL, HATTA, UFTAA GDS: Worldspan E-mail: exclgr@travelling.gr Web site: www.travelling.gr/exclusive 
EXELIXIS TRAVEL & TOURISM|||||158, 3rd September Street, 112 51 Athens Tel (210) 8668188,  Fax (210) 8668187 Manager: Anna Petrochilou
EXODOS TRAVEL & CONGRESS|||||25, Kalamon Street & 50,Vass. Alexandrou  Avenue, 121 34 Peristeri Tel (210) 5787130, Fax (210) 5786919 Owner/Manager: Maria Stavroulia, E-mail: manager@exodostravel.gr Vat Reg No: 999318530, DOY: A’ PERISTERIOU Member of: HATTA, IATA 
EXOTOUR|||||30, Nikis Street,  105 57 Syntagma Tel (210) 3218821, Fax (210) 3218820 Owner/Manager: Ms Zachariadi Tatiana Member of: HATTA 
EXPLORER TRAVEL SERVICE Ltd|||||12-14, Kar. Servias Street, 105 62 Athens Tel (210) 3232070, 3230715, Fax (210) 3254768 Owner/Manager: Ms Melina Petrini Member of: HATTA 
EY ZHN JOURNEYS SA|||||14, Fleming Street, 151 23 N. Filothei Tel 210-6754300,  Fax: 210-6729727 Manager: Athanasios Papadimitriou Member of: HATTA 
FAIRWAYS CLUB|||||6, Makedonias Street, 152 33 Xalandri Tel (210)3211145-7, Fax (210) 3312178 Owner/Managing Director: George Exarchos Member of: HATTA, IATA (code 27-2 1176) GDS: Amadeus Branch office in: Ioannina 
FANTASY TRAVEL LTD|||||Head Office: 19, Filellinon Street, 105 57 Athens Tel (210) 3228410, 3310530-2, Fax (210) 3222624, 3310533 VAT 095702357, D’ ATHENS Owner: Fantasy Travel Ltd., Director: George Gerassimidis Manager: Ms Athina Manolopoulou Member of: HATTA GDS: Amadeus 
FASMA TRAVEL & CONGRESS|||||533,  Mesogion Avenue, 153 43 Ag. Paraskevi Tel (210) 6078485, Fax (210) 6078489 Manager: Evanggelia Vamva Bitouni 
F. E. C. FAIRS EXHIBITIONS CONGRESSES & TRAVEL SERVICES|||||13, Oulof Palme  Avenue, 157 71 Ilissia, Zografou Tel (210) 7489150, 7719961, Fax (210) 7489154 Owner/Manager: Alexandros Spingos Member of: IATA (code 27-2 1022), HATTA, GDS: Amadeus 
FIRST EVENT|||||125, Megalou Alexandrou Street, 104 35 Athens Tel (210) 8228950, Fax (210) 8228901 Manager: Dimitrios Psaltis Member of: HATTA 
FLAG TRAVEL|||||2A, A. Papandreou Street, 151 27 Melissia – Athens Tel (210) 6134897, 6138593, Fax (210) 6136069 Owner/Manager: Nikolaos Syrigos GDS: Sabre
FLASH TOURS|||||58, Solomou Street, 106 82 Athens Tel (210) 3300404, Fax (210) 3804633 Owner: Stylianos Karamalis & Co Vat Reg No: 999752646, DOY: IA’ ATHENS Manager: Stylianos Karamalis, Additional Manager: Akis Karamalis Member of: HATTA, IATA (code 27-0 0112). GDS: Sabre 
FOREGO TRAVEL|||||1, Santaroza St., 105 64 Athens Tel (210) 3210901, 3210905, Fax (210) 3210905 Owner/Manager: Ms Dana Diafigeli 
FOTINOPOULOS TRAVEL|||||53, El. Venizelou Street, 171 23 N. Smyrni Tel (210) 9312963-4, Fax (210) 9312965 Owners/Managers: Christos Bafes, George Kourantos Sales Manager: Christos Bafes Member of: IATA (code 27-0 0576), HATTA, GDS: Sabre, Galileo 
F. P. TRAVEL – HOLIDAYS|||||18-20 Navarinou Street,  106 80 Athens Tel (210) 3612349, 3614926, 3636157, Fax (210) 3637639 Owner/Manager: Konst. Patrikalos Branch offices in: Thessaloniki, Trikala Member of: ASTA, HATTA 
FRAM HELLAS|||||7, Voulis Street, 105 62 Athens Tel (210) 3254720, 3254910, Fax (210) 3251692 Owner: Voyages Fram S.A.,  Manager: Patrick Roche Member of: HATTA 
FREEWAY TRAVEL|||||34, Pentelis Ave., 152 35 Vrilissia, Tel 210-6898371-2, Fax: 210-6890138 Manager: Georgia Kostala 
FREI S.A. TRAVEL CONGRESS|||||3, Paparigopoulou Street, 105 61 Athens Tel (210) 3220489, 3215600, Fax (210) 3219296 Owner: F. R. E. I., S.A., Managing Director: Mrs Niki Gargassoula Member of: IATA (code 27-2 1012), ASTA, HATTA, ICCA, IAPCO E-mail: info@frei.gr 
GALA TOURS LTD|||||3, Filellinon St., 105 57 Athens Tel (210) 3246919, Fax (210) 3246709 Managing: Ms Voula Georgopoulou 
GALAXY TRAVEL Ltd|||||35, Voulis St., 105 57 Athens, Tel (210) 3225779, 3225960, Fax (210) 3229538 Manager: Mrs A. Linardaki-Iliopoulou GDS:  Galileo 
GALLOP TRAVEL 24 HOURS|||||Head Office: 14, Stournara Street, 106 83 Athens, Tel (210) 3835630, 3845403, Fax (210) 3834257 Owner: Gerassimos Papachristopoulos Manager: Georgios Papachristopoulos Member of: HATTA, IATA (code 27-0 0119) Branch Office: 78, Efroniou Street, 161 21 Kaisariani Tel (210) 7248000-1, Fax (210) 7248005 Manager: Antonis Papachristopoulos Member of: IATA (code 27-0 0821), HATTA, GDS: Sabre, Galileo 
GANYMEDES TOURS|||||10, Ag. Zonis St., 113 61 Athens Tel (210) 8640853, Fax (210) 8641008 Owner/Manager: George Soultis Member of: HATTA, UFTAA 
G.E. TRAVEL|||||19, Kaningos Street, Kaningos Square, 106 77 Athens Tel (210) 3840730, 9604029, 3803001, Fax (210) 3808985 Owner: Ms Elena Grapsa, Manager: Christos Kontos Member of: IATA (code 27-0 0120), HATTA 
GEORGE’S TRAVEL SERVICES Ltd.|||||23, Kifissias Street, 115 23 Athens, Tel (210) 8259670,  Fax (210) 8259674 VAT 095018129, KA’ ATHENS Owner/Manager: George M. Tsilides Office Manager: Ms Melina Stravodimou Member of: IATA (code 27-2 2826), ASTA, GITO, HATTA GDS: Galileo, Amadeus 
GINIS TRAVEL|||||23-25, Ermou Street, 105 63 Athens Tel. (210) 3241217-9, 3250401-5, Fax (210) 3237703                    Owner: Ginis Vacances SA Vat Reg No: 094221620, DOY: FAEE ATHINON Manager: Spiros Ginis Incentive Travel – Special Tours: Mrs Myrto Gini Planning & Operation Dept: Mrs Smaro Kargopoulou Ticketing Dept: Mrs Tina Sakellari, Incoming-Domestic Dept: Mrs Evelyn Iliadou E-mail: ginis@ginis.gr, Web site: www.ginis.gr Member of: IATA (code 27-2 5656), ASTA, PETAGA, HATTA, UFTAA. Branch office in Glyfada: 11, Metaxa Street, 166 75 Glyfada, Arian Arcade, (1st floor), Tel (210) 8946112-3, Fax (210) 8946227 Branch office in Thessaloniki: 20, Metropoleos Street, 546 24 Thessaloniki Tel (2310) 281980-3, Fax (2310) 281984 
GLOBAL TRAVEL AGENCY|||||32, Pentelis Street, 151 26 Marousi Tel (210) 8026441, Fax (210) 8026169 Owner: Dimitrios Pagratis Member of: HATTA 
GLOBESTAR TRAVEL|||||85, Vouliagmenis Av., 166 74 Glyfada Tel (210) 9642902, 9632042, Fax (210) 9637674 
G.N. TRAVEL LTD.|||||101, Mantzagriotaki Street, 176 72 Athens Tel (210) 9574001-3, Fax (210) 9574000 Owner/Manager: V. Kokovinos, N. Mantzou Member of: IATA (code 27-2 6497), HATTA 
GNOMON EVENTS|||||446B, Irakliou Ave 141 22 N. Iraklio, Athens Tel (210) 2845982, Fax (210) 2845983 E-mail: info@gnomon.eu (general contact) Web site:www.gnomon.eu Owner: Gnomon Performance S.A. Corporate Event Management Managing Director: Giannis Balakakis,  e-mail: jb@gnomon.eu Vice President & Head Admin: Ersi Mega
GOGO TRAVEL|||||5, Mitropoleos Street, 105 57 Athens Tel (210) 3255008, Fax (210) 3251005 Manager: Anna Damaskinou Member of: HATTA 
